1	Adelina Buenaventura	RJ	M
2	Adelino Gago	RJ	M
3	Adélio Lisboa	SE	M
4	Adérito Bahía	MA	M
5	Adolfo Patrício	PE	M
6	Adriana Guedelha	RO	F
7	Aida Dorneles	RN	F
8	Alarico Quinterno	AC	M
9	Alberto Cezimbra	AM	M
10	Alberto Monsanto	RN	M
11	Albino Canela	AC	M
12	Alceste Varanda	RR	F
13	Alcides Carvalhais	RO	M
14	Aldo Martins	GO	M
15	Alexandra Tabares	MG	F
16	Alfredo Cotrim	SC	M
17	Almeno Figueira	SC	M
18	Alvito Peralta	AM	M
19	Amadeu Martinho	RN	M
20	Amélia Estévez	PE	F
21	Ana Homem	RN	F
22	Ana Peseiro	PA	F
23	Anacleto Garrau	TO	M
24	Anacleto Guterres	PI	M
25	Andreia Carvalhal	SP	F
26	Aníbal Bastos	CE	M
27	Anita Beserra	PE	F
28	Anna Beça	AP	F
29	Anna Carvajal	RS	F
30	Anselmo Dinis	PA	M
31	Antão Corte-Real	ES	M
32	Antero Milheiro	AP	M
33	Antónia Canhão	SC	F
34	Antônio Leiria	AL	M
35	António Lousado	RS	M
36	Antônio Sobral	AC	M
37	Apuã Ourique	AL	M
38	Arachane Matos	MA	F
39	Arcidres Murici	TO	M
40	Armindo Castilhos	RR	M
41	Armindo Moreira	ES	M
42	Artur Macedo	SE	M
43	Artur Peña	RJ	M
44	Aurélio Barrios	PI	M
45	Bárbara Magalhães	MG	F
46	Bartolomeu Vila-Chã	TO	M
47	Basilio Soares	AC	M
48	Belmira Colaço	RJ	F
49	Belmiro Marroquim	SC	M
50	Bento Quintão	SP	M
51	Berengária Iglesias	BA	F
52	Bernardete Águeda	TO	F
53	Bernardete Querino	PI	F
54	Bernardete Tavera	ES	F
55	Bráulio Junquera	PB	M
56	Brenda Serralheiro	PA	F
57	Brígida Gusmão	DF	F
58	Brites Morales	SC	F
59	Bruno Perdigão	MS	M
60	Bukake Núñez	SC	F
61	Caím Queiroga	PA	M
62	Calisto Britto	RN	M
63	Cândida Silvestre	MG	F
64	Cândido Sousa do Prado	PR	M
65	Capitolina Ruela	PI	F
66	Capitolina Valadares	GO	F
67	Carla Briones	AC	F
68	Carlos Murici	MG	M
69	Carmem Reino	CE	F
70	Carminda Alcaide	RO	F
